Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/05/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,74,0.86,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,85,1.01,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,62,0.78,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,73,0.85,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,82,0.95,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,62,0.72,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,49,0.63,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,21,0.27,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,10,0.1,0,0,0,0,
05/05/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1261,0.99,74,0,13,87,
05/05/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1258,1.01,77,0,10,87,
05/05/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,1306,1.1,88,0,13,101,
05/05/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,1332,1.11,78,0,10,88,
05/05/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,1344,1.09,80,0,15,95,
05/05/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,1373,1.11,72,0,13,85,
05/05/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,1334,1.09,82,0,11,93,
05/05/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,1269,1.05,99,,,107,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,23,1303,1.1,112,13,,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,52,1320,1.08,116,28,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,73,1318,1.08,133,41,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,41,1058,0.92,75,17,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,,820,0.7,50,0,0,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,,228,0.2,11,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,677,1.04,55,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,665,1.01,46,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,686,1.02,38,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,690,1.01,47,0,11,58,
05/05/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,651,1.02,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,689,1.05,40,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,615,0.96,37,0,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,620,0.99,52,0,11,63,
05/05/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,620,0.98,39,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,,583,0.96,49,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,10,582,0.92,48,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,,560,0.95,40,,0,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,,376,0.64,17,0,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,0,92,0.15,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,California,Week-ending,0,5668,0.98,422,0,59,481,
05/05/2020,02/08/2020,02/08/2020,By week,California,Week-ending,,5884,1.05,440,0,67,508,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,California,Week-ending,0,5563,0.99,420,0,76,496,
05/05/2020,02/22/2020,02/22/2020,By week,California,Week-ending,,5777,1.03,454,0,70,525,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,California,Week-ending,0,5644,0.99,425,0,70,495,
05/05/2020,03/07/2020,03/07/2020,By week,California,Week-ending,,5684,1,469,0,54,525,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,California,Week-ending,,5411,0.97,419,,54,476,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,California,Week-ending,40,5586,1.04,464,18,42,528,
05/05/2020,03/28/2020,03/28/2020,By week,California,Week-ending,120,5583,1.04,559,66,27,640,
05/05/2020,04/04/2020,04/04/2020,By week,California,Week-ending,277,5824,1.1,600,151,24,750,
05/05/2020,04/11/2020,04/11/2020,By week,California,Week-ending,345,5726,1.11,594,197,,746,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,California,Week-ending,393,5401,1.06,615,254,,760,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,California,Week-ending,132,3750,0.73,318,79,,372,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,California,Week-ending,,1121,0.22,74,,0,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,788,0.98,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,1.04,51,0,11,62,
05/05/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,803,0.97,48,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,878,1.09,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,840,1.07,56,0,16,72,
05/05/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,817,1,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,810,1,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,15,884,1.1,70,,11,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,45,845,1.1,86,27,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,118,931,1.21,144,75,,192,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,189,1052,1.32,178,112,,257,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,161,985,1.22,140,96,0,205,
05/05/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,67,637,0.72,56,32,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,0,201,0.16,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,599,0.91,36,0,11,47,
05/05/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,206,0.3,18,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,196,0.3,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,181,0.27,,0,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,182,0.29,18,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/05/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/05/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,39,44,0.07,13,13,0,39,
05/05/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,104,115,0.18,24,21,0,107,
05/05/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,114,128,0.2,39,32,,121,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,21,24,0.04,,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/05/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/05/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,0.97,14,0,0,14,
05/05/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,185,0.99,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,199,1.01,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,186,0.96,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,160,0.88,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,188,1.01,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,180,0.97,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,202,0.99,13,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,159,0.69,10,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,165,0.92,12,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,19,150,0.82,13,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,18,131,0.58,11,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,,97,0.14,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,0,14,0,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,141,1.08,11,0,0,11,
05/05/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,1.01,10,0,0,10,
05/05/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.93,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,132,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,116,0.94,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,107,0.91,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,119,1.01,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,117,0.96,16,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,19,135,1.16,30,19,0,30,
05/05/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,21,145,1.27,31,21,0,31,
05/05/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,23,124,1.04,31,23,0,31,
05/05/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,,71,0.56,10,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,0,11,0.09,0,0,0,0,
05/05/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,4419,0.99,244,0,35,279,
05/05/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,4382,1,285,0,32,317,
05/05/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,4358,1,273,0,26,299,
05/05/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,4413,1.04,272,0,33,305,
05/05/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,4394,1.04,266,0,33,299,
05/05/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,4519,1.07,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,4432,1.06,304,,24,329,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,4355,1.03,357,,22,387,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,4442,1.06,359,45,19,424,
05/05/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,216,4462,1.07,471,139,16,562,
05/05/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,287,4447,1.08,408,151,10,554,
05/05/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,241,4126,1.03,379,120,,504,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,125,3302,0.83,249,71,,306,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,,989,0.25,51,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,1758,0.99,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,1722,0.98,92,0,10,102,
05/05/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,1701,1,87,0,15,102,
05/05/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,1672,1.02,78,0,21,99,
05/05/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,0,1777,1.09,84,0,,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,1672,1,81,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,1673,0.99,93,,,98,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,28,1631,0.97,122,14,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,75,1674,0.98,136,33,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,158,1709,1.05,192,80,,274,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,139,1566,0.97,173,62,,252,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,112,1298,0.79,120,47,,186,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,40,818,0.49,58,17,0,81,
05/05/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,0,147,0.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,1.03,19,0,0,19,
05/05/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,233,1.09,18,0,0,18,
05/05/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,277,1.15,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,244,1.05,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,237,0.94,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,240,0.97,17,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,209,0.94,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,230,0.95,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,230,0.99,14,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,200,0.9,12,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,180,0.86,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,146,0.67,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
